Index,,text
117,,"When my small grandchildren woke up in the morning yesterday, they came and snuggled with me on the sofa while watching cartoons."
118,,Yoga this morning was comfortable and peaceful.
119,,"Woke up and enjoyed some cold brew coffee while reading the news in my backyard, enjoying the view."
120,,I had some delicious sushi for the first time in a year.
121,,My friends came into work where I bar tend to see me and have some drinks.
122,,I hung out with a bunch of friends last night.
123,,Played with my dogs in the kiddie pool in the back yard.
124,,"There was a free bbq at work today, and I got to eat an icecream cone."
125,,Met Sue and Sharon for a night out at our favorite nightclub.
126,,I had a long conversation with her and we decided to start dating.
127,,I wake up and realize there is no work to do today.
128,,I attended an inauguration of a shop in the morning.
129,,Todd made me a hummus and pesto sandwich with vegan deli slices.
130,,Yesterday this girl that I have a crush on at work and I went to get coffee and it went great!
131,,Taking a shower in the morning is very relaxing.
132,,My daughter came and kissed me when I got up in the morning.
133,,Early this morning when the girlfriend is out of the house and i have some peace before getting ready for work.
134,,Laying in bed with my girlfriend.
135,,Waking up in the morning beside my partner
136,,Today my son and i shared a quite breakfast.
137,,Today I could go with my girlfriend to a movie and then go for a walk to the beach before noon.
138,,I went to the zoo with my stepdaughter earlier today.
139,,"Yesterday, I took my car to a shop and got my air conditioner fixed."
140,,"At work today, I handed in a first draft of a project that I was very proud of."
141,,I wake up and feel refreshed and revitalized on a perfectly-setting day.
142,,My counter in the kitchen got cleaned off after many months of being cluttered.
143,,"Finally home after a long vacation, time to relax."
144,,"My daughter slept in today, meaning I could sleep in today, it was so refreshing."
145,,I went to an old age home with Sarah.
146,,"we went today for shopping,"
147,,Woke up pain free!
148,,my child copied my routine tasks
149,,When I found out we were going to have a child.
150,,Little Mister makes his sister laugh so hard!
151,,"I'll never forget the birth of my son, Jude."
152,,I felt happy that I got to spend Sunday at home relaxing and unpacking the rest of my things.
153,,"I was playing with my cats today, they purr happily around me."
154,,Laying in bed with peace and quiet.
155,,I completed all of my obligations today.
156,,"Early morning while watering rose plants in the garden , I felt so happy to see a new red colored rose flower blossomed in a recently potted plant."
157,,I made $15 dollars on mturk yesterday!
158,,"Got some great school clothes shopping done today, Look out new school year!"
159,,bought a ps4
160,,I spent a joyous afternoon making music on my clarinet.
161,,Today I saw a girl more beautiful then any girl I had ever seen.
162,,I watched an exciting show with my friend; we got chills all over!
163,,I went for a jog in the park this morning.
164,,Yesterday I managed to hit a beautiful smash during badminton practice and no one could return it.
165,,Playing with our new puppy and teaching him tricks
166,,My daughter smiled at me today.
167,,"Took son John to football practice, great!"
168,,my 10 months baby boy calling me as mom
169,,Yesterday my boyfriend made me feel confident about my songwriting abilities.
170,,That moment when I receive a new book and the cover is exactly right with the story.
171,,i got the govt job i was very happy
172,,I woke up today refreshed and ready to take on the day
173,,I woke up gradually with my cat curled in my arms and a purr rumbling on her whiskers.
174,,"The sun was shining brightly and I looked up from the street to see a clear, cloudless sky."
175,,Laying in bed when I get up on my work laptop with coffee.
176,,Last week I met who may be my partner for the rest of my life.
177,,"Ran my dog in the park on this sunny day, made me thankful."
178,,I gave birth to my beautiful daughter.
179,,Met with school friends after long time.
180,,my early morning cuddle with my husbad
181,,"On the front porch my son hugged me for a whole minute today, I felt overjoyed."
182,,"Got a phone call from son who lives in another state, so happy when he calls."
183,,I observed the most radiant sunset I have witnessed this year.
184,,"yesterday we went  to Guayaquil city to meet my aunt Lana, we had a trip over the city and met the surroundings, too much time out of the city, too much nostalgia."
185,,I was at the Dunkin Donuts drive thru this morning and they had French creullers
186,,yesterday myself and my wife went for outing and we enjoyed
187,,That first sip of bubbly Dr Pepper through my straw.
188,,"I kissed my daughter yesterday morning before leaving for work as she was feeding and she looked at me with the sweetest, knowing grin."
189,,I made it to work early today despite some traffic issues.
190,,I went to play basketball today
191,,woke up early for the stock market and made $100.
192,,"When i got home from work today, my wife had cooked me my favorite meal."
193,,"Took the family out for a picnic at the park, and the scenery was breath taking, so beautiful."
194,,When i wake up in the morning to my lovely family.
195,,I was so happy when that money hit my debit card
196,,I get a yummy breakfast with hot chocolate each morning.
197,,My daughter discovered she likes to study astronomy.
198,,"I went for a walk today, it was a warm, sunny, beautiful day."
199,,Yesterday Zeke bought his first car.
200,,I saw my girlfriend today and we saw a movie
201,,I spent time with my beloved grandchildren today.
202,,My wife came back from her office and hugged me.
203,,My neighbor just left me a plant on my porch for no special reason!
204,,I watched a musical.
205,,I took down a gym in Pokemon Go today.
206,,My daughter was so excited to see me in the morning.
207,,Found a cute pair of shoes at the store.
208,,My co-habitating partner trusted me to take her to her cancer checkup appointment.
209,,Working alone at home while the children were at school.
210,,Drank my pre-workout shake.
211,,Today I woke up to beautiful birds chirping.
212,,"I enjoyed a quiet, early morning with a nice, hot cup of coffee."
213,,"Saw a grasshopper outside, it chirped really loud."
214,,In the morning it is quite in my house and I love to relax in the restroom.
215,,Genuinely Candid laughing photos
216,,Got a new Skull Candy Bluetooth today and enjoyed listening music when I went to office.
217,,Meeting with friends in the park for a picnic.
218,,I went to go see my niece yesterday.
219,,"Today, my husband took me out to lunch at our favorite restaurant."
220,,I spoke with my girlfriend on the phone.
221,,I enjoyed with my children's in Everest
222,,"my kid said for the first time ""DADA"" that made me so happy"
223,,"I got to wander around the mall today, just me and my thoughts and lots of pretty stuff."
224,,Laying on the couch watching TV without anyone else home.
225,,I  watch my children activity in morning times
226,,"My daughter woke me up with a kiss this morning, sweetness all day."
227,,I finished all my projects at work.
228,,I help my kids get ready for their day.
229,,"Woke up early today, got praying done and had time to make breakfast for the wife."
230,,Getting to cleanup the shared file system drive of  my workgroup.
231,,My fiance and I picked up our wedding rings from the jeweler and it was very exciting.
232,,Today i woke up feeling good because I was not in pain from my illness as I usually am when i first wake up
233,,"I received great new from my mother, shes coming to visit in a few days!"
234,,I spent the day with my Grandchildren.
235,,that day when our college have bonfire an amazing day with amazing food and dance party i wish i can get those days back
236,,Waking up next to the love of my life is the best feeling in the world.
237,,I got asked for a phone interview
238,,Making my first cup of coffee without the television on in the morning.
239,,My boyfriend told me he loved me today
240,,"Today I got some unexpected money, I'm going to put it toward buying things for College."
241,,received in the mail my prize from my very win from a contest
242,,ENJOYED LUNCH WITH MY GOOD FRIENDS
243,,Watching the sun set last night over the trees as I enjoyed a moment of zen with my girlfriend last night was so relaxing.
244,,I drove to work this morning and there was absolutely no traffic on the freeway.
245,,I used my rewards card to get a free coffee today!
246,,"Waking up every morning with great health, family, and friends."
247,,When My girlfriend kissed me good.
248,,I made the list as top performer in the country.
249,,I ate a delicious panini today that was extremely satisfying.
250,,"I had a facial done today for the first time, and it was delightful!"
251,,Mi best happy moment ever was my brother was born.
252,,I woke up this morning and saw my boyfriend smiling in his sleep.
253,,today my nephew was born.
254,,I drank my coffee and looked at Facebook without being interrupted by the kids today.
255,,I had my first kiss with Rachel today!
256,,I had a thrilling time with the boys during the basketball game today!
257,,I went for a morning job before sunrise today.
258,,"i had sex my lover today,"
259,,Woke up this morning to Ed's sweet little kitty whisker tickling my cheek.
260,,There were no tantrums in the house today.
261,,I went to the park with my kids today.
262,,"Today I managed to grind through a 205 pound front squat, it was ridiculous and I Was giddy and shaky when I made the rep."
263,,When  I  Scored good marks in college examination
264,,The class I taught asked a lot of questions and seemed involved and interested in the lecture.
265,,Yesterday my daughter woke up from her nap and first thing she said was she loves me
266,,My daughter came from school with a smile in her face.
267,,i made breakfast for my family and they liked it.
268,,Making coffee first thing in the morning and looking out on the woods to see the deer playing.
269,,A TV show presentor asked me and my boyfriend to take part in that TV
270,,My fussy baby finally went down for a nap.
271,,Woke up late so didn't have to wait long for lunch.
272,,Took about an hour nap today.
273,,"Late night drive with my dog in the passenger's seat, clear skies and visible stars."
274,,I started the morning off with some Pilates.
275,,My hubby helped me with my household chores.
276,,I presented a ring to my wife yesterday as a birthday gift
277,,This morning I had my morning Starbucks Venti Mocha.
278,,I made a list of the person that I want to be which I will look at everyday.
279,,Today I got to see my girlfriend at work.
280,,My friend brought me some tomatoes from her garden.
281,,I rocked out at a concert featuring my favorite 2 bands.
282,,I went to dinner.
283,,I hugged a really good friend of mine.
284,,I indulged in Milano Double Chocolate cookies today.
285,,Woke up to a beautiful sunny day
286,,Woke up this morning to a beautiful sunny day which brightened my mood today.
287,,"Me and Tom went to the grocery store, and my favorite cheese was on sale!"
288,,Today is mine and my girlfriends 10-month anniversary.
289,,"I made 5 bucks on Mturk today, I'd say it was a good day."
290,,This morning I woke up and I found my son awake making my coffee.
291,,Finishing up my work early so that I could spend the rest of the day exploring with my wife and kiddos.
292,,"I was promoted today, so excited for this opportunity!"
293,,Getting out of the marine corps
294,,"After work today I went to 7-11 and got a large Slurpee, I waited all day to cool down, it was very refreshing."
295,,"Have a clear stomach today, feeling peace."
296,,Woke up today to see both dogs snuggling with me.
297,,"I, woke up today, refreshed, from a good nite sleep, to start off the day."
298,,"Wake up fresh in the morning, and its a weekend bunch of nice things to do other than working."
299,,I am so happy all 3 of the kids are under the same roof for a while.
300,,The sunset I saw while driving to work.
301,,I'm getting married today
302,,I took my children fishing after work
303,,I went for a run outside with my husband today.
304,,I spent a few minutes petting the neighbors dog.
305,,"I woke up with energy today, not tired, then had a coffee with my girlfriend in the morning."
306,,I washed and made my car look very clean today.
307,,Travel hill station with my wife
308,,Walks into the office and seeing my morning coffee on my desk.
309,,I woke up to a good morning beautiful text this morning.
310,,"I came home from a long day at work and crawled into bed, and was so happy to see my wife there beside me."
311,,"Cuddling with my puppy, I felt so loved."
312,,"My walk to work - crisp air, city noises, morning fog, and some dogs barking."
313,,I went to dinner with my female friend whom I enjoy very much.
314,,Invited my brother and his family for dinner.
315,,"Went to the beach with the boys, had a wild time!"
316,,"I went to an outdoor yoga class today and it was quite cool for this time of year, so it was pleasant and relaxing."
317,,Received an item I was waiting one month from China!
318,,I got to snuggle my husband when we woke up this morning.
319,,There was no traffic this morning so I was able to get to work early and have time to settle in.
320,,I woke up to some beautiful weather today
321,,I snuggled with our new puppy for a while after taking him for a walk.
322,,I had a very good talk with my fiancé yesterday.
323,,Got seat in the college where I wished to join.
324,,"First thing in the morning, checking on my AMT balance with no rejections!"
325,,Every morning to wake up and realize that I have one more day of life with my family.
326,,I bought my dad a new car today and his smile lit up the whole city!
327,,"Look good, feel good, do good."
328,,"When I woke up this morning, it was still dark out and my daughter was sleeping peacefully."
329,,I helped my best friend pick out her wedding dress.
330,,I got the job!
331,,Woke up with the pups tails wagging today waiting for their walk.
332,,Lost a pound today!
333,,My two year old was rocking back and forth in his chair as we sang happy birthday to him.
334,,I had a cup of coffee with my friend yesterday.
335,,I went to lift and felt great.
336,,"I finished a big project today, client was happy and liked the artwork."
337,,"It felt great to sleep in today, lie in bed and just listen to the birds outside the window."
338,,Puppies curled up on my feet - perfect day.
339,,I woke up and saw the sun shining.
340,,I just took my first sip of coffee.
341,,Being told my son doesn't need major surgery.
342,,I woke up early and walked with my pets at the park.
343,,I signed a contract for my new job.
344,,Tried a new yogurt today and it was delicious.
345,,My friend came over and we watched a movie
346,,"Finishing work and stepping out into the fresh air and sunshine, feeling free and relaxed from stress."
347,,"I woke up, connected to mturk and found out that a nice requester bonused me one dollar."
348,,"very happy that it is raining, good for the lawn."
349,,Going for a walk with my dog.
350,,"Woke up to see my dog sitting in his bed watching me, waiting for me to wake up."
351,,Eating a taco potluck at work with my coworkers today.
352,,"A big surprise, when i was issued a UK visa"
353,,The sun was shining bright as I went for my morning run today.
354,,I was very happy to see my son very excited when he knew that we are travelling abroad this summer.
355,,Early Morning time and the sun is warming my skin while I drink coffee.
356,,I had an amazing cup of coffee this morning!
357,,My heart is filled with happiness as my little daughter starts walking today
358,,Walking outside my house in the morning going to my job as the suns getting warm
359,,Easy day at work today
360,,When i meet my love in first time.
361,,"Watched the beautiful sunrise with my dog, sitting just beside me."
362,,Waking up to things being clean and tidy
363,,I decided to play some Hearthstone today.
364,,I bought my dream car.
365,,I got to eat leftover brownie batter yesterday when everyone left.
366,,Seeing my dog when I get home and we go for a walk.
367,,i was able to do work achievement that was so challenging and needed much preparation
368,,Hit the gym and hit a new personal best when doing bench press.
369,,Cooked myself a wholesome breakfast and drove to work while I watched the sun rise.
370,,"I went for my schoolmates get together yesterday evening, enjoyed the happy moments and felt nostalgic."
371,,"I had a nice, home cooked breakfast today."
372,,"This morning I watched a beautiful sunrise, as I sipped a cup of coffee."
373,,Today when my son kissed my on my cheek my world was right.
374,,I got off work and checked my phone and saw that my girlfriend still loved me.
375,,I woke up early today to meet breakfast in bed made by my husband.
376,,Waking up to a fresh cup of coffee that somebody else made.
377,,My cat jumped on chest and rubbed against my face to wake me up today.
378,,This morning I felt happy because I can fix a trouble with my bank account.
379,,"Today, I got to smoke a bowl in the sun."
380,,Having my morning coffee by myself and listening to the birds chirping.
381,,Watching my kids being silly in the car.
382,,This morning my daughter put her shoes away without me asking showing that all those years of nagging have paid off.
383,,The day I got saved and my  life was changed!
384,,I spent some time talking with Al while at work this morning.
385,,I was woken up by my fiance calling me on the phone and telling me she loved me.
386,,On my way home to see my boyfriend
387,,listening to the rain in the morning
388,,Today I just woke up with the sun in my face and it was so satisfying.
389,,My sister arrived for a visit from out of state.
390,,In the morning when i woke up and my mom is already making my breakfast with love.
391,,I had a delicious scone for breakfast.
392,,I got to ride a very friendly deer at Salmon La Sac.
393,,I won a drawing for a 50 dollar gift card!
394,,I was very happy when I finally finished work and could go home and rest.
395,,Sweet doggy excitedly wagging his tail.
396,,Yesterday I won the game by making a incredible shot over the defender.
397,,Spending time with family.
398,,When Kav called me her best friend.
399,,The morning birds flying in group formation fill me with a sense of peace and natural wonder.
400,,I had lunch today with my kids.
401,,The full moon tonight was beautiful.
402,,Hubby sent me a picture from fishing boat in Alaska.
403,,"Got up in the morning, thanked GOD for everything given to me by him."
404,,Finally my daughter Anna was born today
405,,"I took my son to music class, we both enjoyed it!"
406,,Made lots of money at work today.
407,,I'm so thankful I woke up today to start fresh with meaning and purpose.
408,,Just watched one of the greatest episodes of TV I think I've ever seen.
409,,The children climbed into bed with me to snuggle this morning.
410,,I went to have Ice Cream with my girlfriend
411,,ME AND ANNA HAND BY HAND WALKING CLOSE TO SEA
412,,Yesterday I found 5 dollars on the floor.
413,,I played run and chase with my kids today and we all laughed so hard we were crying.
414,,I was exploring the tide pools with my husband and children.
415,,picking up my son from daycare
416,,"Today i was with my little brother, he really likes me and i love him too."
417,,i was happy when i woke up and breakfast was made for me
418,,My daughter said she loved me.
419,,My little smiled for the first time at me today.
420,,I went for a long walk around the neighborhood today.
421,,Saw Alan for the first time in 2 years and caught up like nothing happened.
422,,"Such beautiful weather, the heat wave is finally over."
423,,I woke up and my son was smiling on me.
424,,Today is my daughter dance show so I am happy
425,,I like the movie that I watched today.
426,,I saw a rainbow on the way to work; it was so majestic looking.
427,,I was relieved to Come home to my wife after such a busy day.
428,,I had my child in the hospital yesterday and it's feeling great
429,,"Today, my daughter told me she can count to 10 and then did it correctly."
430,,I reached office and found my best friend waiting their for me.
431,,"When I got at home, my favourite food was on the table"
432,,I woke up today.
433,,I had avocado toast for breakfast this morning and it was delicious!
434,,Morning coffee in my garden is an inspiring way to start my day.
435,,Sat on the patio drinking coffee.
436,,I saw a bunch of little kids skateboarding down the side of the road near my house.
437,,Got a kiss from my wife that woke me up this morning.
438,,When I married my husband.
439,,"I woke up today to my Dachshund and miniature chihuahua excited to see me, jumping all over the bed in excitement that they get to see me and get to eat breakfast."
440,,I cooked an amazing breakfast today
441,,"Today I woke up and brewed up some new coffee, which was delicious and relaxing."
442,,Those childhood memories of my grandma are largely synonymous with food
443,,My early morning music routine makes me happy.
444,,I woke up this morning feeling lovely and refreshed after a well deserved sleep.
445,,I received a birthday card from my children.
446,,I visited my mom today to find she's feeling much better than yesterday.
447,,My friend came from Dubai yesterday morning.
448,,Proposing to my now wife three years ago.
449,,I listened to a podcast that really spoke to me about creativity and art.
450,,I went to the farmers market with my housemate and bought some basil.
451,,The baby took a nap without yelling today!
452,,I gave my girlfriend flowers today.
453,,The moment when I got off from work and the person in the car driving us hoe smiled at me.
454,,Happy to recall a wonderful dream last night.
455,,I spoke to my daughter who is away at college today.
456,,Took my dog for a morning walk and admired a mountain view
457,,Jackie gave me her phone number
458,,I sat outside in beautiful weather and read a good book.
459,,I had a wonderful dinner with my roommate tonight.
460,,I settled into my new car and took my first drive in it.
461,,"I woke up without any appointments and the whole day to get my papers in order,"
462,,"The first coffee of the morning on the balcony, with people rushing to their office, perfect recharge"
463,,I woke up before my alarm and felt happy that I could sleep in longer.
464,,I got a great big hug from my kid.
465,,my two year old son ran to hug me as i arrived home tired.
466,,The Sens are in the Stanley Cup finals yay!
467,,"In the morning, when the sun is coming in the windows, I feel refreshed, and my boyfriend is next to me."
468,,I played with my cat.
469,,"My girlfriend had a job interview today, feeling optimistic."
470,,First cup of coffee before a hot shower!
471,,"yesterday, i was relived that I finally completed my associates degree."
472,,My girlfriend came over last night
473,,I had a very nice lunch outside of the office with coworkers today.
474,,"I chased the dog around the yard, and he really enjoyed it, so much so that he was a smiling panting dog by the end."
475,,I saw the feral kittens that have been hanging outside my house today.
476,,"I went and sat by the ocean today, it was so calm and serene."
477,,"Today was a good day, me and my girlfriend are on speaking terms now."
478,,I gave my son a kiss right after I woke him up.
479,,"My daughter drew a picture of herself and me holding hands with the words ""I love my daddy""."
480,,"That moment when my daughter wakes up from a nap and sees me, the smile that creeps up on her face just lights up my world."
481,,I got married.
482,,Going on a walk on one of the hiking trails.
483,,"Yesterday I visited and old school friend, we talked for hours."
484,,"Today, I bought my fiance a bunch of gifts and arranged them in a heart before I left for work, which made me very happy."
485,,"While driving to work with the sun shinning over the landscape, I felt serene."
486,,"This morning, I woke late because I didn't have to work early so I enjoyed just stay in the bed"
487,,A day well spent on the beach with family
488,,Seeing my sons smiling face early morning.
489,,When I grilled dinner for the family and they complimented me
490,,I completed a project for work today and I feel like I accomplished something.
491,,i got good morning call from my girl friend
492,,I had a special moment with my mom yesterday.
493,,"Today I tried on a pair of jeans at a clothing store, and they fit perfectly."
494,,I got a free lunch with the bosses.
495,,I have completed enough work to finish another online course.
496,,I was feeling sick so my boyfriend made me soup and brought it to me!
497,,Waking up and realizing I have today off so i can lay in bed for awhile.
498,,"in my school level i got championship, i feel very happy."
499,,"this afternoon to win a lottery ticket, I won the second prize, and now I am a rich person."
500,,"Found the sand I needed for my project, very excited to get started."
501,,I sat down in the quiet and drink a glass of water in the kitchen with the lights off.
502,,Waking up and knowing my very young daughter slept through the night.
503,,The smile on my wife's face when the doctor gave us the good news about the baby was simply amazing.
504,,my favorite tv show was on today.
505,,I went for a long walk on the trails at my favorite nature parks.
506,,"Today, this warm morning, I made a delicious cup of vietnamese dark roast coffee with condensed milk and ice, and it tasted great and motivated me to go through the hot day."
507,,"The sun is rising in the distance on a crisp, cool morning while I'm having coffee on a porch swing."
508,,having open minded people around me
509,,I received a gift from my girlfriend today.
510,,I picked up my daughter from school and she was ecstatic to see me.
511,,I got ice cream with Molly.
512,,"Today it rained, and I love listening to it outside my window."
513,,I played with my son and he laughed so much.
514,,"Just got home after a long day, my feet are so freaking happy to be home."
515,,Just waking up in the morning to find puppies!
516,,Enjoyed a concert with my friends today.
517,,woke up and didnt have a cigarette
518,,"Sipped a warm, creamy cup of coffee in silence."
519,,"The sunrise while I was sitting on the front porch with my coffee this morning was beautiful, a bright pink/red color."
520,,Drinking my first big glass of iced coffee in the morning and reading things online.
521,,i woke up and saw my wife sleeping by my side.
522,,I ran for 5 miles for the first time in 4 years.
523,,This morning the office was quiet and I was able to finish a lot of work while the rain tapped on my window.
524,,"I woke up and my puppy was next to me sleeping, it felt nice."
525,,"I drove my favorite car today, dream come true."
526,,Feeling excited about our trip to the mountain tonight.
527,,"My Husband made a wonderful dinner last night, it was the best!"
528,,"I went visit my neighbor today, had a wonderful visit."
529,,I finished reading a book that was kept pending for a long time.
530,,I went for a ride with my son
531,,Early in the morning I start yoga feeling good health
532,,The parking spot directly in front of my apartment was free.
533,,I just had dinner.
534,,I had a wonderful day today and reached my exercise goals!
535,,"I woke up with my son cuddling next to me, it was a memory to cherish forever."
536,,Participated in a very interesting MIT research survey being a turker.
537,,"In the morning I watched my little brother chasing our dog around the house, I should've been angry at the noise but it made me really happy."
538,,stepping out of train i saw my brother waiting for me .
539,,Playing four square with Sage (my daughter).
540,,My wife looked stunning in her new outfit!
541,,I was fell asleep on the couch watching tv and my Shane woke me up with a kiss before he went to work.
542,,Sitting across the dinner table from my partner who is smiling.
543,,"Now my work is done, I can watch fun memes & gags."
544,,Tonight my wife got home from school and we sat on the couch together and played with our dog.
545,,My 2 years old daughter said a phraise last night that made me laugh.
546,,I drank some coffee and it was delicious
547,,My friend gave me a call for jogging in the morning.
548,,"Everyone's still sleeping, quiet morning, sipping my coffee, munching on my glazed Krispy Kreme doughnut and watching my favorite TV show."
549,,"I went to the beach with Franc again for the one year of our second date, and it was so blissful laying on the beach together."
550,,"I picked up my love from the airport, after being away for 4 months."
551,,"I let my dog off his leash at the dog park and watched him bound off towards the woods, enjoying his freedom to just ."
552,,Yesterday I attended the marriage function of my close friend's daughter.
553,,My daughter made a funny face just to make me smile.
554,,I spent an hour outside just sitting in the sun while our dog ran around chasing imaginary animals.
555,,Went to play basketball with a few friends at the park.
556,,Me and my girlfriend are moving out.
557,,The day my now hubby told me he loved me.
558,,I bought Cinnamon Toast Crunch yesterday.
559,,I GOT INTO DAVIS!
560,,"I went in to the bedroom this morning, much like every morning, and he was laying there cuddled up with the pillows I lay my head upon."
561,,My parole officer called me unexpectedly and told me I've been off parole for the last 5 months.
562,,i had an awesome burger today
563,,I got a hug from my daughter
564,,"Cleaning the whole house made me feel really accomplished and productive, and then I got to relax as a reward."
565,,Waking my child up this morning and them smiling at me.
566,,I was given an opportunity to interview for a prestigious internship at a bank.
567,,Waking up in my own bed.
568,,"Waking up to my beautiful, crazy kids."
569,,My son made a great play at football practice.
570,,Today morning all my sisters came to celebrate festival of Raksha bandhan which is celebrated between brothers and sisters.
571,,I listened to a teacher talk about how great her first day of school was going compared to her expectations.
572,,I walked three miles today and felt great afterwards.
573,,"Driving in the rain, acoustic TLSP blasting, alone and content in the afternoon."
